Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1255.0,-2.71,-1.92,8.87,4.19
1257.0,-2.68,-1.87,8.88,4.19
1260.0,-2.56,-1.81,8.91,4.17
1262.0,-1.88,-0.71,5.1,4.19
1265.0,2.55,-4.11,10.18,4.19
1267.0,-1.33,-2.47,7.78,4.17
1270.0,0.06,-3.86,11.47,4.19
1280.0,-2.02,-1.29,8.23,4.17
1282.0,-2.29,-1.29,9.07,4.19
1285.0,-2.56,-1.65,9.26,4.19
1287.0,-2.53,-1.96,9.32,4.2
1290.0,-2.51,-2.12,8.87,4.19
1292.0,-2.32,-2.38,9.26,4.19
1295.0,-2.31,-2.39,9.73,4.15
1297.0,-2.09,-2.17,9.89,4.17
1300.0,-2.0,-1.99,9.68,4.19
1302.0,-1.97,-1.9,9.46,4.19
1305.0,-2.04,-1.84,9.11,4.19
1307.0,-2.3,-1.75,9.03,4.19
1310.0,-2.7,-2.52,10.54,4.19
1312.0,-2.5,-2.9,10.82,4.19
1315.0,-2.5,-1.68,7.21,4.17
1317.0,-2.96,-1.99,9.13,4.2
1320.0,-3.38,-1.7,8.56,4.19
1322.0,-3.76,-1.29,8.49,4.17
1325.0,-4.02,-1.03,8.72,4.19
1327.0,-4.09,-0.57,8.82,4.19
1330.0,-3.91,-0.31,8.88,4.19
1332.0,-3.45,-0.15,8.92,4.19
1335.0,-3.08,0.0,9.24,4.19
1337.0,-2.74,-0.16,9.32,4.19
1340.0,-2.53,-0.54,9.13,4.19
1342.0,-2.44,-1.13,9.0,4.17
1352.0,-2.43,-3.69,5.75,4.17
1355.0,-2.79,-4.18,6.5,4.17
1357.0,-2.95,-3.47,10.4,4.19
1360.0,-2.74,-1.68,9.82,4.19
1362.0,-2.91,-1.45,7.82,4.19
1365.0,-3.29,-1.08,7.94,4.19
1367.0,-3.25,-0.46,9.52,4.17
1370.0,-3.07,0.09,9.76,4.19
1372.0,-3.05,-0.05,9.09,4.19
1375.0,-2.92,-0.34,9.25,4.19
1377.0,-2.66,-0.99,9.78,4.17
1380.0,-2.12,-0.88,10.24,4.19
1382.0,-1.96,-1.6,8.87,4.19
1385.0,-2.29,-2.66,8.15,4.19
1387.0,-2.44,-3.1,8.89,4.19
1390.0,-2.48,-3.24,9.09,4.19
1392.0,-2.62,-3.18,8.73,4.19
1395.0,-2.84,-2.85,8.81,4.17
1397.0,-3.0,-2.24,9.19,4.15
1400.0,-2.83,-1.84,9.09,4.19
1402.0,-2.72,-1.48,9.14,4.19
1405.0,-2.55,-1.46,9.42,4.18
1407.0,-2.36,-1.45,9.62,4.22
1410.0,-2.22,-1.63,9.59,4.17
1412.0,-2.25,-1.99,9.51,4.19
1415.0,-2.18,-2.34,9.6,4.17
1424.0,-5.82,-1.42,10.53,4.17
1427.0,-1.32,-3.97,9.34,4.18
1429.0,-2.76,-3.85,9.92,4.19
1432.0,-2.33,-3.27,10.66,4.19
1434.0,-2.65,-2.57,9.85,4.17
1437.0,-2.8,-2.2,9.76,4.17
1439.0,-3.13,-1.95,9.73,4.19
1442.0,-2.93,-1.84,9.75,4.2
1444.0,-3.06,-1.83,9.98,4.17
1447.0,-2.99,-1.86,10.05,4.19
1449.0,-2.95,-2.0,9.82,4.19
1452.0,-2.85,-2.3,9.7,4.19
1454.0,-2.7,-2.6,9.98,4.19
1457.0,-2.59,-2.88,10.05,4.17
1459.0,-2.4,-3.16,10.06,4.19
1462.0,-2.49,-3.31,10.03,4.17
1464.0,-2.37,-3.33,9.87,4.19
1467.0,-2.38,-3.38,9.89,4.19
1469.0,-2.32,-3.3,9.9,4.19
1472.0,-2.25,-3.27,9.89,4.2
1474.0,-2.1,-3.28,9.87,4.19
1477.0,-1.93,-3.3,9.71,4.2
1479.0,-1.84,-3.28,9.56,4.18
1482.0,-1.65,-3.27,9.4,4.19
1484.0,-1.5,-3.32,9.25,4.19
1494.0,-1.29,-3.64,9.5,4.19
1497.0,-1.45,-3.6,9.35,4.2
1499.0,-1.43,-3.69,9.17,4.15
1502.0,-3.16,-2.32,10.46,4.18
1504.0,-1.1,-3.55,7.76,4.19
1507.0,-1.53,-3.66,8.57,4.19
1509.0,-1.77,-3.41,9.77,4.19
1512.0,-1.97,-3.12,9.11,4.2
1514.0,-1.87,-2.74,9.43,4.2
1517.0,-2.18,-2.26,9.36,4.17
1519.0,-2.27,-2.06,9.2,4.18
1522.0,-2.4,-1.9,9.18,4.19
1524.0,-2.59,-1.82,9.25,4.19
1527.0,-2.6,-1.88,9.4,4.17
1529.0,-2.66,-2.11,9.47,4.19
1532.0,-2.69,-2.17,9.64,4.19
1534.0,-2.75,-2.38,9.63,4.19
1537.0,-2.74,-2.52,9.54,4.19
1539.0,-2.78,-2.62,9.45,4.19
1542.0,-2.83,-2.67,9.41,4.17
1544.0,-2.91,-2.78,9.38,4.19
1547.0,-2.85,-2.8,9.45,4.19
1549.0,-2.89,-2.78,9.38,4.19
1552.0,-2.92,-2.69,9.43,4.16
1554.0,-2.91,-2.65,9.4,4.17
1557.0,-2.8,-2.57,9.43,4.19
1567.0,-2.84,-2.17,9.35,4.2
1569.0,-2.87,-2.23,9.24,4.19
1572.0,-2.94,-2.22,9.0,4.19
1574.0,-3.04,-2.24,8.95,4.19
1577.0,-3.04,-2.26,8.89,4.19
1579.0,-3.08,-2.34,8.87,4.19
1582.0,-3.09,-2.45,8.8,4.2
1584.0,-3.17,-2.57,8.83,4.18
1587.0,-3.14,-2.62,8.75,4.19
1589.0,-3.14,-2.66,8.7,4.19
1592.0,-3.14,-2.63,8.71,4.17
1594.0,-3.17,-2.68,8.71,4.18
1597.0,-3.1,-2.69,8.69,4.2
1599.0,-3.12,-2.63,8.86,4.19
1602.0,-3.02,-2.64,8.85,4.15
1604.0,-3.06,-2.61,8.84,4.19
1607.0,-3.05,-2.6,8.95,4.19
1609.0,-2.98,-2.57,8.99,4.17
1612.0,-2.96,-2.56,9.05,4.19
1614.0,-3.05,-2.54,9.19,4.19
1617.0,-3.07,-2.42,9.22,4.17
1619.0,-3.08,-2.27,9.29,4.17
1622.0,-3.06,-2.31,9.42,4.19
1624.0,-3.0,-2.36,9.4,4.19
1627.0,-3.02,-2.47,9.5,4.19
1629.0,-2.88,-2.66,9.46,4.14
1632.0,-2.9,-2.82,9.46,4.19
1641.0,-2.87,-2.95,9.44,4.19
1644.0,-2.78,-2.85,9.49,4.19
1646.0,-2.75,-2.9,9.38,4.19
1649.0,-2.71,-2.91,9.44,4.19
1651.0,-2.6,-2.92,9.48,4.2
1654.0,-2.61,-2.93,9.4,4.17
1656.0,-2.66,-3.02,9.45,4.17
1659.0,-2.6,-3.0,9.39,4.19
1661.0,-2.59,-3.02,9.41,4.19
