Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1306.0,-3.92,8.55,6.26,4.2
1309.0,-3.94,8.57,6.26,4.21
1311.0,-4.02,8.45,6.28,4.22
1314.0,-4.03,8.44,6.4,4.2
1316.0,-4.07,8.41,6.52,4.2
1319.0,-4.25,8.38,6.56,4.22
1321.0,-4.36,8.41,6.48,4.2
1324.0,-4.46,8.47,6.55,4.22
1334.0,-4.81,8.8,6.42,4.2
1336.0,-4.84,8.87,6.39,4.22
1339.0,-5.05,8.91,6.38,4.22
1341.0,-5.01,8.97,6.35,4.21
1344.0,-5.13,9.04,6.32,4.22
1346.0,-5.18,9.1,6.29,4.2
1349.0,-5.22,9.15,6.27,4.22
1351.0,-5.12,9.14,6.25,4.2
1354.0,-5.13,9.22,6.19,4.21
1356.0,-5.05,9.31,6.1,4.21
1358.0,-5.07,9.36,6.02,4.2
1361.0,-4.96,9.44,6.05,4.22
1363.0,-4.86,9.42,5.95,4.2
1366.0,-4.88,9.47,5.98,4.21
1368.0,-4.79,9.45,6.05,4.22
1371.0,-4.69,9.38,6.07,4.22
1373.0,-4.6,9.37,6.17,4.22
1376.0,-4.54,9.27,6.32,4.2
1378.0,-4.51,9.21,6.46,4.22
1381.0,-4.41,9.21,6.59,4.21
1383.0,-4.33,9.1,6.78,4.22
1386.0,-4.3,9.03,6.79,4.22
1388.0,-4.29,9.04,6.92,4.17
1391.0,-4.31,9.11,6.89,4.2
1393.0,-4.24,9.1,6.96,4.22
1396.0,-4.25,9.2,6.99,4.22
1398.0,-4.28,9.23,7.02,4.22
1401.0,-4.33,9.31,7.0,4.22
1403.0,-4.33,9.24,6.84,4.21
1406.0,-4.41,9.18,6.9,4.2
1408.0,-4.49,9.28,6.99,4.21
1411.0,-4.45,9.26,6.93,4.22
1413.0,-4.56,9.35,6.75,4.2
1416.0,-4.56,9.25,6.79,4.2
1418.0,-4.57,9.22,6.74,4.2
1421.0,-4.58,9.22,6.81,4.22
1423.0,-4.53,9.31,6.79,4.22
1426.0,-4.51,9.28,6.86,4.22
1428.0,-4.52,9.3,6.83,4.2
1438.0,-4.63,9.27,7.0,4.22
1441.0,-4.62,9.23,6.93,4.2
1443.0,-4.68,9.23,6.85,4.22
1446.0,-4.7,9.22,6.8,4.22
1448.0,-4.87,9.2,6.75,4.2
1451.0,-5.01,9.14,6.67,4.21
1453.0,-5.11,8.99,6.49,4.21
1456.0,-5.2,9.01,6.37,4.22
1458.0,-5.35,9.0,6.22,4.22
1461.0,-5.45,8.9,5.95,4.2
1463.0,-5.59,8.84,5.86,4.2
1466.0,-5.73,8.88,5.62,4.19
1468.0,-5.84,8.8,5.42,4.22
1471.0,-5.87,8.81,5.23,4.22
1473.0,-5.88,8.81,4.93,4.22
1476.0,-5.83,8.84,4.76,4.2
1478.0,-5.68,8.83,4.55,4.2
1481.0,-5.45,8.83,4.33,4.2
1483.0,-5.31,8.78,4.11,4.2
1486.0,-5.15,8.75,4.17,4.22
1488.0,-4.98,8.67,4.11,4.21
1491.0,-4.85,8.54,4.1,4.19
1493.0,-4.8,8.4,4.06,4.22
1496.0,-4.69,8.21,4.08,4.21
1498.0,-4.62,8.01,4.13,4.22
1501.0,-4.63,7.82,4.1,4.2
1503.0,-4.69,7.63,4.21,4.21
1506.0,-4.65,7.35,4.8,4.2
1508.0,-4.66,7.16,5.63,4.21
1511.0,-4.6,7.21,6.5,4.22
1513.0,-4.83,7.86,7.15,4.21
1516.0,-5.33,8.68,7.67,4.21
1518.0,-6.07,9.11,8.81,4.19
1521.0,-6.54,9.22,10.46,4.22
1523.0,-6.89,8.99,9.54,4.21
1526.0,-7.49,8.84,7.41,4.21
1528.0,-7.64,8.77,7.33,4.2
1538.0,-5.38,7.6,6.93,4.2
1541.0,-4.86,7.03,6.38,4.22
1543.0,-4.5,6.8,6.03,4.22
1546.0,-4.46,6.77,6.27,4.22
1548.0,-4.31,7.0,6.52,4.2
1551.0,-3.92,7.07,6.62,4.22
1553.0,-3.42,7.16,6.66,4.22
1556.0,-2.76,6.91,6.86,4.22
1558.0,-2.0,6.24,7.2,4.22
1561.0,-1.28,6.43,7.24,4.2
1563.0,-0.64,6.3,7.46,4.2
1566.0,0.25,5.91,8.63,4.22
1568.0,0.52,5.8,8.22,4.21
1571.0,0.55,5.69,8.02,4.2
1573.0,0.37,5.81,8.35,4.21
1576.0,0.03,5.62,8.16,4.2
1578.0,-0.14,5.68,7.93,4.22
