Acc conf(10), Acc range(2), Power conf(1), Power ctrl(4), Dummy(2)
Time(ms), accelX(m/s2), accelY(m/s2), accelZ(m/s2), batteryVoltage(V)
1347.0,-1.03,8.06,2.18,4.17
1349.0,-1.15,8.01,2.16,4.15
1352.0,-1.0,8.05,2.31,4.17
1355.0,-1.11,8.02,2.17,4.17
1357.0,-0.98,8.0,2.2,4.19
1359.0,-1.01,8.04,2.22,4.19
1362.0,-0.96,8.12,2.22,4.18
1364.0,-0.96,8.05,2.24,4.17
1367.0,-0.88,8.21,2.17,4.17
1369.0,-0.98,8.18,2.27,4.17
1372.0,-0.99,8.24,2.25,4.17
1374.0,-0.93,8.28,2.21,4.16
1377.0,-0.93,8.28,2.2,4.17
1379.0,-0.96,8.34,2.19,4.19
1382.0,-0.87,8.44,2.23,4.17
1384.0,-0.95,8.44,2.24,4.18
1387.0,-0.87,8.43,2.27,4.17
1389.0,-0.93,8.55,2.22,4.17
1392.0,-0.86,8.6,2.26,4.19
1394.0,-0.85,8.58,2.21,4.2
1397.0,-0.9,8.67,2.21,4.19
1399.0,-0.84,8.76,2.1,4.17
1402.0,-0.85,8.83,2.25,4.18
1404.0,-0.75,8.76,2.31,4.19
1407.0,-0.76,8.84,2.28,4.19
1409.0,-0.7,9.0,2.34,4.17
1412.0,-0.69,9.03,2.41,4.17
1414.0,-0.61,9.02,2.38,4.17
1417.0,-0.63,9.15,2.34,4.19
1427.0,-0.72,9.26,2.47,4.17
1429.0,-0.72,9.3,2.49,4.19
1432.0,-0.69,9.3,2.49,4.19
1434.0,-0.73,9.41,2.41,4.17
1437.0,-0.77,9.34,2.39,4.19
1439.0,-0.81,9.46,2.45,4.18
1442.0,-0.75,9.46,2.44,4.17
1444.0,-0.74,9.51,2.46,4.19
1447.0,-0.8,9.45,2.46,4.2
1449.0,-0.77,9.42,2.47,4.17
1452.0,-0.77,9.39,2.46,4.15
1454.0,-0.69,9.4,2.46,4.17
1457.0,-0.71,9.44,2.44,4.19
1459.0,-0.7,9.44,2.45,4.18
